collection,species,occurrences
Aquadesk,clathratulum,32
Aquadesk,cryptotenella,32
Aquadesk,macrodactylus,31
WMR,phaseolina,31
Aquadesk,reinhardi,31
Aquadesk,brebissonii,31
WMR,undatum,31
Aquadesk,vikinga,31
Aquadesk,falcata,30
Aquadesk,pseudofragilis,30
Aquadesk,chaetoceratis,30
Aquadesk,turricula,30
Aquadesk,glaber,30
Aquadesk,haplocheles,30
Aquadesk,contorta,30
Aquadesk,vangoorii,30
Aquadesk,arenicolae,30
Aquadesk,spiritus,29
Aquadesk,hanleyi,29
Aquadesk,paxillifera,29
Aquadesk,curvatus,29
Aquadesk,barbata,29
Aquadesk,circinale,29
Aquadesk,intermedia,29
Aquadesk,binderanus,29
Aquadesk,heterochaetus,29
WMR,conchilega,29
Aquadesk,boryanum,28
VIS,gurnardus,28
VIS,pollachius,28
VIS,encrasicolus,28
Aquadesk,thalassophila,28
Aquadesk,hammoniensis,28
WMR,echinata,28
Aquadesk,orbicularis,28
Aquadesk,minusculum,28
Aquadesk,verugera,28
Aquadesk,celtica,28
Aquadesk,octoculata,28
Aquadesk,luscus,28
Aquadesk,linearis,28
Aquadesk,lima,28
Aquadesk,tricingulatum,27
Aquadesk,coronatus,27
Aquadesk,mediterraneus,27
Aquadesk,parapectinatus,27
Aquadesk,tridentatus,27
Aquadesk,quadripartita,27
WMR,candida,27
Aquadesk,anastomosans,27
Aquadesk,archangelica,27
WMR,ferruginosa,27
Aquadesk,spinigera,26
Aquadesk,variabilis,26
Aquadesk,stolonifera,26
Aquadesk,appendiculatus,26
Aquadesk,humilis,26
Aquadesk,geometra,26
WMR,tumefacta,26
Aquadesk,fonticola,26
Aquadesk,warpachowskyi,25
Aquadesk,pringsheimii,25
Aquadesk,naticoides,25
Aquadesk,parkeae,25
Aquadesk,circinatus,25
Aquadesk,pseudogoniaulax,25
Aquadesk,flabellata,25
Aquadesk,gessneri,24
Aquadesk,jurisii,24
WMR,takanoi,24
Aquadesk,sowinskyi,24
Aquadesk,castanea,24
Aquadesk,bretscheri,24
Aquadesk,divergens,24
Aquadesk,sociabilis,24
Aquadesk,klebahnii,24
Aquadesk,clausa,24
Aquadesk,perrieri,24
VIS,fontinalis,24
Aquadesk,stroemii,24
Aquadesk,arvense,24
Aquadesk,fruticosa,24
Aquadesk,clevei,24
Aquadesk,bilobata,24
Aquadesk,agassizensis,23
Aquadesk,conglomeratus,23
Aquadesk,frondosa,23
Aquadesk,minor,23
Aquadesk,roseus,23
Aquadesk,latipes,23
Aquadesk,capillaris,23
Aquadesk,milium,23
Aquadesk,antennata,23
Aquadesk,tobianus,23
Aquadesk,curvipes,23
VIS,surmuletus,23
Aquadesk,pilosus,23
Aquadesk,mutabilis,23
Aquadesk,librile,23
Aquadesk,hopei,23
Aquadesk,caudatus,23
Aquadesk,foliacea,22
Aquadesk,anserina,22
Aquadesk,duplex,22
WMR,longicornis,22
Aquadesk,tenuissimum,22
Aquadesk,andreapolis,22
Aquadesk,barbatus,22
Aquadesk,olivaceum,22
Aquadesk,multisetosus,22
Aquadesk,fontinalis,22
Aquadesk,pseudooblea,21
Aquadesk,reinhardtii,21
Aquadesk,trochoidea,21
Aquadesk,calida,21
Aquadesk,varia,21
Aquadesk,maritimus,21
Aquadesk,atlantica,21
Aquadesk,surmuletus,21
Aquadesk,maeoticum,21
WMR,paucicostata,20
Aquadesk,armatus,20
VIS,maenas,20
Aquadesk,seiracanthus,20
Aquadesk,morum,20
Aquadesk,dysenterica,20
Aquadesk,cuneata,20
VIS,aequoreus,20
VIS,albula,20
Aquadesk,sopotensis,20
Aquadesk,duneri,20
Aquadesk,aquatica,19
Aquadesk,strombus,19
Aquadesk,atomus,19
Aquadesk,dioica,19
Aquadesk,abyssorum,19
Aquadesk,hoplura,19
WMR,undecimdentatus,19
Aquadesk,pannonicus,18
Aquadesk,tetraura,18
Aquadesk,pictorum,18
Aquadesk,pectinatus,18
Aquadesk,fasciculata,18
Aquadesk,tortile,18
Aquadesk,parvulum,18
Aquadesk,tumidus,18
Aquadesk,minusculus,18
Aquadesk,flavum,18
Aquadesk,inconspicua,18
Aquadesk,paleacea,18
Aquadesk,listerianum,18
Aquadesk,kinahani,18
Aquadesk,constrictus,18
Aquadesk,extenuata,18
Aquadesk,caudatum,18
Aquadesk,balanus,17
Aquadesk,ornata,17
Aquadesk,richiardii,17
Aquadesk,demersum,17
Aquadesk,triporus,17
Aquadesk,limnetica,17
Aquadesk,prostratum,17
Aquadesk,brevis,17
Aquadesk,flabellifera,17
Aquadesk,ventricosa,17
Aquadesk,falleni,17
Aquadesk,compacta,17
Aquadesk,cryptotenelloides,17
Aquadesk,aquaticus,16
Aquadesk,araenicola,16
Aquadesk,sociale,16
Aquadesk,praetenue,16
Aquadesk,dumortierii,16
Aquadesk,amnicum,16
Aquadesk,pseudacorus,16
WMR,atlanticus,16
Aquadesk,obtusatus,16
VIS,pygmaea,16
Aquadesk,argus,16
VIS,brosme,16
Aquadesk,gelatinosa,16
Aquadesk,marmorata,16
Aquadesk,suborbicularis,16
Aquadesk,microscopicus,16
Aquadesk,imperfecta,16
VIS,melas,16
Aquadesk,crassum,16
Aquadesk,cannabinum,16
Aquadesk,limatula,15
Aquadesk,concavicornis,15
Aquadesk,limbata,15
Aquadesk,moniliferum,15
Aquadesk,droebachiensis,15
Aquadesk,delicatulum,15
Aquadesk,aequoreus,15
Aquadesk,femoratum,15
Aquadesk,cincta,15
Aquadesk,litorale,15
Aquadesk,vanhaareni,15
WMR,puber,15
Aquadesk,verior,15
Aquadesk,canadensis,15
Aquadesk,riparium,15
Aquadesk,zizyphinum,15
Aquadesk,granulosa,15
Aquadesk,faeroensis,15
Aquadesk,octona,15
Aquadesk,parasiticum,15
Aquadesk,steenstrupi,15
Aquadesk,elinguis,15
Aquadesk,cuculus,15
Aquadesk,lactuca,14
Aquadesk,longimerus,14
Aquadesk,puber,14
Aquadesk,othonis,14
Aquadesk,diaphanus,14
Aquadesk,urgorrii,14
Aquadesk,umbilicata,14
Aquadesk,angstii,14
Aquadesk,minima,14
Aquadesk,perforata,14
WMR,sinensis,14
Aquadesk,parvus,14
Aquadesk,gunneri,14
Aquadesk,halecinum,14
Aquadesk,arenosa,14
Aquadesk,connivens,14
Aquadesk,griffithii,13
WMR,cranchii,13
Aquadesk,margalefii,13
Aquadesk,caulleryi,13
Aquadesk,antonii,13
Aquadesk,stellatum,13
Aquadesk,crassicornis,13
Aquadesk,sacculus,13
Aquadesk,bulbosa,13
Aquadesk,binghami,13
Aquadesk,sanmartini,13
Aquadesk,complanata,13
Aquadesk,tessulatum,13
Aquadesk,bispinosus,13
Aquadesk,globularis,13
Aquadesk,muratensis,13
Aquadesk,pulchellum,13
WMR,lactea,13
Aquadesk,apiculata,13
Aquadesk,opoliensis,13
Aquadesk,ploenensis,13
Aquadesk,mytili,13
Aquadesk,platycheles,13
Aquadesk,clava,13
Aquadesk,bicuspis,12
Aquadesk,anomala,12
Aquadesk,atlanticus,12
Aquadesk,hyrcanus,12
Aquadesk,bergensis,12
Aquadesk,arundinacea,12
Aquadesk,attenuatum,12
Aquadesk,inermis,12
Aquadesk,coarctatus,12
Aquadesk,laticauda,12
Aquadesk,rostratum,12
Aquadesk,reboredae,12
Aquadesk,bavaricus,12
Aquadesk,invisitatus,12
Aquadesk,tubifex,12
Aquadesk,antennina,12
Aquadesk,fasciatus,12
Aquadesk,pygmaeus,12
Aquadesk,vaucheriae,12
Aquadesk,plicata,12
Aquadesk,genevensis,12
Aquadesk,favus,12
Aquadesk,thulesense,12
Aquadesk,hirtellus,12
Aquadesk,brockmannii,12
Aquadesk,brevistriata,12
Aquadesk,ferruginea,12
Aquadesk,otrubae,12
Aquadesk,leucophaeata,11
Aquadesk,euxinicus,11
Aquadesk,conchylega,11
Aquadesk,muricata,11
Aquadesk,crenata,11
Aquadesk,gunnellus,11
Aquadesk,hamata,11
Aquadesk,tabulata,11
Aquadesk,danubiana,11
Aquadesk,gibber,11
Aquadesk,minimum,11
Aquadesk,gentili,11
Aquadesk,phascolosomata,11
Aquadesk,fluminalis,11
Aquadesk,pelagicus,11
Aquadesk,crista,11
Aquadesk,salinarum,11
Aquadesk,rugosum,11
Aquadesk,digitata,11
Aquadesk,magnidentata,11
Aquadesk,stroemia,10
Aquadesk,crotonensis,10
Aquadesk,subsalina,10
Aquadesk,ramzega,10
Aquadesk,subarctica,10
Aquadesk,canaliculata,10
Aquadesk,blavyanus,10
Aquadesk,disticha,10
Aquadesk,closterium,10
Aquadesk,repens,10
Aquadesk,uenoi,10
Aquadesk,astroideum,10
Aquadesk,scorpius,10
Aquadesk,variochaeta,10
Aquadesk,bufonius,10
Aquadesk,venter,10
Aquadesk,utriculus,10
Aquadesk,eliasoni,10
Aquadesk,polyphemus,10
Aquadesk,galba,10
Aquadesk,obesa,10
Aquadesk,neothumensis,10
Aquadesk,harmeri,10
Aquadesk,paludosa,10
Aquadesk,parthenopes,10
Aquadesk,pseudocrinitus,10
Aquadesk,palea,10
Aquadesk,purpureus,10
Aquadesk,expansa,10
Aquadesk,longicaudata,10
Aquadesk,uncinata,9
Aquadesk,fallax,9
Aquadesk,indivisa,9
Aquadesk,inopinata,9
Aquadesk,rubri-claustri,9
Aquadesk,pseudonana,9
Aquadesk,turgida,9
Aquadesk,desmaresti,9
Aquadesk,farfara,9
Aquadesk,platessoides,9
Aquadesk,frequentissimum,9
Aquadesk,fibrosum,9
Aquadesk,tumida,9
Aquadesk,hirta,9
Aquadesk,mcintoshi,9
Aquadesk,styloides,9
Aquadesk,oxyuraea,9
Aquadesk,lucerna,9
Aquadesk,schlosseri,9
Aquadesk,maritimae,9
Aquadesk,perminuta,9
Aquadesk,antipyretica,9
Aquadesk,lebourae,9
Aquadesk,armillaris,9
Aquadesk,thea,9
Aquadesk,aeruginosa,9
Aquadesk,phasma,9
Aquadesk,iactans,9
Aquadesk,trevelyanum,9
Aquadesk,recens,9
Aquadesk,caspia,9
Aquadesk,lamarcki,9
Aquadesk,carinatus,9
Aquadesk,bigelowii,9
Aquadesk,trichoides,9
Aquadesk,monacantha,9
Aquadesk,tetrapedia,9
Aquadesk,leptocerus,9
Aquadesk,pedata,8
Aquadesk,salinarius,8
Aquadesk,vanhoeffenii,8
Aquadesk,spiralis,8
Aquadesk,tullbergi,8
Aquadesk,pavillardii,8
Aquadesk,immersa,8
Aquadesk,trachurus,8
Aquadesk,angulosa,8
Aquadesk,squillarum,8
Aquadesk,sczelkowii,8
Aquadesk,veneta,8
Aquadesk,trivialis,8
Aquadesk,ceratina,8
Aquadesk,triquetrum,8
Aquadesk,inornatus,8
Aquadesk,catenata,8
Aquadesk,rubrovittata,8
Aquadesk,reichardtiana,8
VIS,molitrix,8
Aquadesk,lignarius,8
Aquadesk,marginata,8
Aquadesk,labiata,8
Aquadesk,donacina,8
Aquadesk,lacteum,8
Aquadesk,heufleriana,8
Aquadesk,confervacea,8
Aquadesk,hungarica,8
VIS,tobianus,8
Aquadesk,contraria,8
Aquadesk,acuminatum,8
VIS,cimbrius,8
Aquadesk,mamillatum,8
Aquadesk,lumbricalis,8
Aquadesk,vanelli,8
Aquadesk,spinipes,7
Aquadesk,macrocephala,7
Aquadesk,sinuata,7
Aquadesk,celata,7
Aquadesk,scruposa,7
Aquadesk,cari,7
Aquadesk,villosa,7
Aquadesk,maricola,7
Aquadesk,spinosus,7
Aquadesk,arvensis,7
Aquadesk,jurinei,7
Aquadesk,cespitosum,7
Aquadesk,heteroclita,7
Aquadesk,clausii,7
Aquadesk,monostachys,7
Aquadesk,tortissimus,7
Aquadesk,herdmani,7
Aquadesk,tetralix,7
Aquadesk,grossa,7
Aquadesk,microporum,7
Aquadesk,tyrrhenus,7
Aquadesk,roperi,7
Aquadesk,templetoni,7
Aquadesk,coxalis,7
Aquadesk,albus,7
Aquadesk,novaesiberica,7
Aquadesk,brevirostris,7
Aquadesk,fernandi,7
Aquadesk,australiensis,7
Aquadesk,olivacea,7
Aquadesk,pallidus,7
WMR,littorea,6
Aquadesk,gammarus,6
Aquadesk,trainorii,6
Aquadesk,striatus,6
Aquadesk,tigrina,6
Aquadesk,hamulus,6
Aquadesk,guttatus,6
Aquadesk,tuberosa,6
Aquadesk,archibaldii,6
Aquadesk,spinosa,6
Aquadesk,compressus,6
Aquadesk,friesii,6
Aquadesk,medius,6
Aquadesk,armandi,6
Aquadesk,microcystiformis,6
Aquadesk,subminuscula,6
Aquadesk,flesus,6
Aquadesk,supralitorea,6
WMR,ensis,6
Aquadesk,solita,6
Aquadesk,polyomma,6
Aquadesk,luteocincta,6
Aquadesk,longifusiformis,6
VIS,undulatus,6
Aquadesk,prevostii,6
VIS,bosc,6
Aquadesk,serpentina,6
Aquadesk,campoyi,6
Aquadesk,romanodanubiale,6
Aquadesk,prolifica,6
Aquadesk,ficus,6
Aquadesk,engelbrechtii,6
Aquadesk,sculptus,6
Aquadesk,piscatorius,6
Aquadesk,eutrophilum,6
Aquadesk,divisa,6
Aquadesk,sessile,6
Aquadesk,exigua,5
Aquadesk,intermedium,5
Aquadesk,lucens,5
Aquadesk,palmeriana,5
Aquadesk,securifrons,5
Aquadesk,saprophila,5
Aquadesk,gammarellus,5
Aquadesk,costata,5
Aquadesk,patelliformis,5
Aquadesk,difformis,5
Aquadesk,procumbens,5
Aquadesk,neodiminuta,5
Aquadesk,meridianus,5
Aquadesk,acanthocysta,5
Aquadesk,kolbei,5
Aquadesk,discors,5
Aquadesk,chrysanthellum,5
Aquadesk,pseudoglebulenta,5
Aquadesk,lenticularis,5
Aquadesk,dissipata,5
Aquadesk,bacillum,5
Aquadesk,autumnalis,5
Aquadesk,incerta,5
Aquadesk,tremellaris,5
Aquadesk,trichiatus,5
Aquadesk,edwarsi,5
Aquadesk,tricirrata,5
Aquadesk,latipeltata,5
Aquadesk,plantago-aquatica,5
Aquadesk,radicans,5
Aquadesk,pinnata,5
Aquadesk,quattrospina,5
Aquadesk,pluriseta,5
WMR,rotundatus,5
Aquadesk,coalita,4
Aquadesk,riparia,4
Aquadesk,nidulans,4
Aquadesk,dubia,4
VIS,piscatorius,4
Aquadesk,monoculoides,4
Aquadesk,ciliatum,4
Aquadesk,rostellatus,4
Aquadesk,encrasicolus,4
Aquadesk,michaelseni,4
Aquadesk,glandulifera,4
Aquadesk,microspira,4
Aquadesk,klarae,4
Aquadesk,norwegica,4
Aquadesk,cincinnatus,4
Aquadesk,punctiformis,4
Aquadesk,nebulosa,4
Aquadesk,bicornis,4
Aquadesk,minuscula,4
Aquadesk,bimaculata,4
Aquadesk,aestuarii,4
Aquadesk,asellus,4
VIS,draco,4
Aquadesk,articulatus,4
Aquadesk,pubescens,4
Aquadesk,tubifera,4
Aquadesk,minutissimum,4
Aquadesk,retusa,4
Aquadesk,liebetruthii,4
WMR,obtusa,4
Aquadesk,leachi,4
Aquadesk,libyca,4
Aquadesk,eulimoides,4
Aquadesk,harengus,4
Aquadesk,testacea,4
VIS,gattorugine,4
Aquadesk,citrina,4
Aquadesk,pseudostelligera,4
Aquadesk,pigueti,4
VIS,conger,4
Aquadesk,constrictum,4
Aquadesk,penicillus,4
Aquadesk,maritimum,4
Aquadesk,stenosoma,4
Aquadesk,longocirrata,4
VIS,pagurus,4
Aquadesk,futilis,4
Aquadesk,cernua,4
VIS,mustelus,4
Aquadesk,squamula,4
Aquadesk,araneus,4
Aquadesk,semisquamatus,4
Aquadesk,pedicellata,4
Aquadesk,infundibuliformis,4
Aquadesk,coronopifolia,4
VIS,thymallus,4
Aquadesk,vilnensis,4
Aquadesk,perennis,4
Aquadesk,planctonica,4
Aquadesk,major,4
Aquadesk,pisiforme,4
Aquadesk,peruvianus,4
Aquadesk,wautieri,4
Aquadesk,vortex,4
VIS,spinachia,4
Aquadesk,carnea,4
Aquadesk,italicum,4
Aquadesk,elisabethae,4
Aquadesk,japonicus,4
VIS,canicula,4
Aquadesk,cuspidata,4
Aquadesk,brevissima,4
Aquadesk,substriata,4
Aquadesk,gerardii,4
Aquadesk,odontonyx,4
Aquadesk,pseudobrevis,4
Aquadesk,bruzelii,4
Aquadesk,gibbosa,4
VIS,nobilis,4
Aquadesk,profundicola,4
Aquadesk,problematica,4
Aquadesk,martyi,4
Aquadesk,chaetifer,4
Aquadesk,vulgare,3
Aquadesk,aurariae,3
Aquadesk,lamornae,3
Aquadesk,breviremis,3
Aquadesk,heterostriatum,3
Aquadesk,helvetica,3
Aquadesk,clavigera,3
Aquadesk,asper,3
Aquadesk,wesenbergii,3
Aquadesk,valerandi,3
Aquadesk,hyalina,3
Aquadesk,wuellerstorffii,3
Aquadesk,hyndmanni,3
Aquadesk,umbellatus,3
Aquadesk,marsypos,3
Aquadesk,aurata,3
Aquadesk,vanheurckii,3
Aquadesk,aeglefinus,3
Aquadesk,lueneburgensis,3
Aquadesk,kolkwitzii,3
Aquadesk,bilamellata,3
Aquadesk,komarekii,3
Aquadesk,tuberculata,3
Aquadesk,chamomilla,3
Aquadesk,intestinalis,3
Aquadesk,lepidoptera,3
Aquadesk,sanguineus,3
Aquadesk,subnudus,3
Aquadesk,aperta,3
Aquadesk,annua,3
Aquadesk,diabolus,3
Aquadesk,dichotoma,3
Aquadesk,tabernaemontani,3
Aquadesk,conoidea,3
Aquadesk,securigera,3
Aquadesk,obliquus,3
Aquadesk,distincta,3
Aquadesk,dissimilis,3
Aquadesk,perenne,3
Aquadesk,spiculiformis,3
Aquadesk,ockelmanni,3
Aquadesk,duebeni,3
Aquadesk,angustata,3
Aquadesk,spinicarpa,3
Aquadesk,dichaeta,3
Aquadesk,corneum,3
Aquadesk,amondseni,3
Aquadesk,aparine,3
Aquadesk,rutilans,3
Aquadesk,sanctus,3
Aquadesk,alveolata,3
Aquadesk,oxytoxoides,3
Aquadesk,sannio,3
Aquadesk,pyriformis,3
Aquadesk,robustoides,3
Aquadesk,ezoensis,3
Aquadesk,rectisetosus,3
Aquadesk,aprilinus,3
Aquadesk,shrubsolei,3
Aquadesk,equilibra,3
Aquadesk,flexa,3
Aquadesk,tomentosa,3
Aquadesk,morhua,3
Aquadesk,smithii,3
Aquadesk,hantzschii,3
Aquadesk,pupula,3
Aquadesk,serratus,3
Aquadesk,anatina,3
WMR,opercularis,3
Aquadesk,pumilum,3
Aquadesk,punctata,3
Aquadesk,resomari,3
Aquadesk,complanatus,3
Aquadesk,remyi,3
Aquadesk,dichotomum,3
Aquadesk,punctatus,3
Aquadesk,cantabra,2
VIS,baeri,2
Aquadesk,depressa,2
Aquadesk,scabra,2
Aquadesk,polyrhiza,2
Aquadesk,decussis,2
Aquadesk,planorbis,2
Aquadesk,cambrensis,2
VIS,temporaria,2
Aquadesk,seurati,2
Aquadesk,seminulum,2
VIS,melops,2
Aquadesk,ferox,2
Aquadesk,schumanniana,2
Aquadesk,polychroa,2
Aquadesk,scoticus,2
Aquadesk,tripus,2
Aquadesk,acutiformis,2
Aquadesk,limneticus,2
Aquadesk,laticollum,2
WMR,araneus,2
Aquadesk,bathyomphala,2
Aquadesk,radiosa,2
Aquadesk,lauenburgianum,2
Aquadesk,europaea,2
Aquadesk,recta,2
Aquadesk,lamarckii,2
Aquadesk,reimeri,2
Aquadesk,bilineata,2
Aquadesk,puerilis,2
Aquadesk,ptarmica,2
Aquadesk,antilopes,2
Aquadesk,angustior,2
Aquadesk,robustus,2
Aquadesk,bulnheimiana,2
Aquadesk,dorsalis,2
Aquadesk,rostellata,2
VIS,desmarestii,2
Aquadesk,dispar,2
Aquadesk,rubicunda,2
Aquadesk,rubrocincta,2
Aquadesk,augur,2
WMR,cylindracea,2
Aquadesk,proschkinae,2
Aquadesk,lombricoides,2
Aquadesk,javorkae,2
Aquadesk,salinicola,2
Aquadesk,bulbosus,2
Aquadesk,didyma,2
Aquadesk,decora,2
Aquadesk,fontanum,2
Aquadesk,declivis,2
Aquadesk,agnita,2
Aquadesk,concinna,2
Aquadesk,condylocinereum,2
Aquadesk,normaloides,2
Aquadesk,michaelsarsii,2
Aquadesk,goodsiri,2
Aquadesk,christinae,2
Aquadesk,nunezi,2
Aquadesk,obliqueacuminata,2
Aquadesk,giardi,2
Aquadesk,obtusatum,2
Aquadesk,mesolepta,2
Aquadesk,valdestriata,2
Aquadesk,obtusifrons,2
Aquadesk,alderi,2
Aquadesk,flagellifera,2
Aquadesk,granum,2
Aquadesk,tenuimana,2
Aquadesk,aduncus,2
Aquadesk,cineraria,2
Aquadesk,helenensis,2
Aquadesk,modiolus,2
Aquadesk,clepsidroides,2
Aquadesk,hauniensis,2
Aquadesk,triangulare,2
Aquadesk,moravicus,2
Aquadesk,moskalii,2
Aquadesk,naegeliana,2
VIS,pseudogeographica,2
Aquadesk,abei,2
Aquadesk,navicularis,2
Aquadesk,cirrata,2
Aquadesk,guillardii,2
Aquadesk,millefolium,2
Aquadesk,ternata,2
VIS,rupestris,2
Aquadesk,alineae,2
Aquadesk,subhamulata,2
Aquadesk,stauroneiformis,2
Aquadesk,imperfectum,2
Aquadesk,skujae,2
Aquadesk,amplivasatus,2
Aquadesk,helmckei,2
Aquadesk,perspicua,2
Aquadesk,viridula,2
VIS,semiarmatus,2
WMR,rhomboides,2
Aquadesk,virgata,2
Aquadesk,cuanensis,2
Aquadesk,mariannae,2
Aquadesk,corneus,2
WMR,quadripartita,2
Aquadesk,parthenopaeus,2
Aquadesk,peregra,2
Aquadesk,costulata,2
Aquadesk,papillocercus,2
Aquadesk,alpinus,2
Aquadesk,maumeensis,2
Aquadesk,maryae,2
Aquadesk,gemma,2
Aquadesk,ovum,2
Aquadesk,vejdovskyanum,2
Aquadesk,graciliformis,2
Aquadesk,galeata,2
Aquadesk,couchii,2
Aquadesk,marssonii,2
Aquadesk,adhaerens,1
Aquadesk,bacilliformis,1
Aquadesk,amphibia,1
Aquadesk,atherica,1
Aquadesk,aquatilis,1
Aquadesk,acutum,1
Aquadesk,amphiceropsis,1
Aquadesk,amphisbaena,1
Aquadesk,arachnoidea,1
Aquadesk,aequiseta,1
Aquadesk,aequorea,1
Aquadesk,aspersa,1
Aquadesk,angustatula,1
Aquadesk,abludens,1
Aquadesk,lappa,1
Aquadesk,batavus,1
Aquadesk,peterfii,1
Aquadesk,personatum,1
Aquadesk,perlevis,1
Aquadesk,forcipata,1
Aquadesk,formica,1
Aquadesk,pennipes,1
Aquadesk,frequens,1
Aquadesk,frici,1
Aquadesk,paradoxa,1
Aquadesk,opulentum,1
Aquadesk,genuflexa,1
Aquadesk,oleraceus,1
Aquadesk,ocellata,1
Aquadesk,oceanica,1
Aquadesk,obscura,1
Aquadesk,oahuensis,1
Aquadesk,petasatum,1
Aquadesk,foliaceus,1
Aquadesk,behningi,1
Aquadesk,phylleptosoma,1
Aquadesk,pusillum,1
Aquadesk,europaeum,1
Aquadesk,fadejewi,1
Aquadesk,pseudoholsatica,1
Aquadesk,pseudogracilis,1
Aquadesk,pseudocyperus,1
Aquadesk,pseudanglica,1
Aquadesk,proxima,1
Aquadesk,protracta,1
Aquadesk,prostrata,1
Aquadesk,pratensis,1
Aquadesk,polygramma,1
Aquadesk,plioveterana,1
Aquadesk,platystoma,1
Aquadesk,planctonicum,1
Aquadesk,novacekii,1
Aquadesk,glebulenta,1
Aquadesk,graveolens,1
Aquadesk,neritina,1
Aquadesk,inflatus,1
Aquadesk,lugubris,1
Aquadesk,introflexus,1
Aquadesk,investiens,1
Aquadesk,littoralis,1
Aquadesk,littorale,1
Aquadesk,limosus,1
Aquadesk,limosa,1
Aquadesk,korzeniewskii,1
Aquadesk,laciniosus,1
Aquadesk,lacrimula,1
Aquadesk,lemmermannii,1
Aquadesk,latifolia,1
Aquadesk,lancettula,1
Aquadesk,lange-bertalotii,1
Aquadesk,mantegazzianum,1
Aquadesk,marginatum,1
Aquadesk,humerosa,1
Aquadesk,hauckianum,1
Aquadesk,neglectiformis,1
Aquadesk,grischunum,1
Aquadesk,nationalis,1
Aquadesk,nanum,1
Aquadesk,myosotis,1
Aquadesk,musculus,1
Aquadesk,heimii,1
Aquadesk,massa,1
Aquadesk,minutulus,1
Aquadesk,herdmanii,1
Aquadesk,heringianus,1
Aquadesk,microdigitoradiata,1
Aquadesk,menisculus,1
Aquadesk,mediterranea,1
Aquadesk,emersum,1
Aquadesk,elongatum,1
Aquadesk,quadrisetum,1
Aquadesk,tetrachlorelloides,1
Aquadesk,variostriata,1
Aquadesk,variegatus,1
Aquadesk,upsaliensis,1
Aquadesk,uniseriata,1
Aquadesk,chelata,1
Aquadesk,chlorophorum,1
Aquadesk,choctawhatcheeana,1
Aquadesk,tropicoidea,1
Aquadesk,clavatum,1
Aquadesk,clementioides,1
Aquadesk,triappendiculata,1
Aquadesk,triacanthum,1
Aquadesk,coarctata,1
Aquadesk,coffeiformis,1
Aquadesk,thermaloides,1
Aquadesk,ventriconfusa,1
Aquadesk,verrucosus,1
Aquadesk,violaceus,1
Aquadesk,capitellata,1
Aquadesk,berkeleyi,1
Aquadesk,berolinensis,1
Aquadesk,bidens,1
Aquadesk,bremeyeri,1
Aquadesk,californica,1
Aquadesk,calvus,1
Aquadesk,capucina,1
Aquadesk,viride,1
Aquadesk,zachariasii,1
Aquadesk,witkowskii,1
Aquadesk,weissflogii,1
Aquadesk,weberi,1
Aquadesk,visurgis,1
Aquadesk,vistulana,1
Aquadesk,tetras,1
Aquadesk,tenuispina,1
Aquadesk,radians,1
Aquadesk,tenera,1
Aquadesk,setosus,1
Aquadesk,delicia,1
Aquadesk,setaceus,1
Aquadesk,serpyllifolia,1
Aquadesk,diacantha,1
Aquadesk,diastrophus,1
Aquadesk,scalaris,1
Aquadesk,rupium,1
Aquadesk,discoidea,1
Aquadesk,rubrum,1
Aquadesk,rosenstockii,1
Aquadesk,rivicola,1
Aquadesk,ramosissima,1
Aquadesk,radiosafallax,1
Aquadesk,radiata,1
Aquadesk,silesiacum,1
Aquadesk,daui,1
Aquadesk,simula,1
Aquadesk,strumarium,1
Aquadesk,tectiporus,1
Aquadesk,conferta,1
Aquadesk,surirella,1
Aquadesk,subsolitaria,1
Aquadesk,sublinearis,1
Aquadesk,subcistula,1
Aquadesk,straubianum,1
Aquadesk,slesvicensis,1
Aquadesk,creticola,1
Aquadesk,spicata,1
Aquadesk,cummerowi,1
Aquadesk,sorex,1
Aquadesk,solidum,1
Aquadesk,socialis,1
Aquadesk,minimus,1
